"ArrestSurrenderID","CaseMasterID","ArrestSurrenderTypeID","ArrestSurrenderDate","ArrestSurrenderStateId","ArrestSurrenderDistrictId","PoliceStationID","IOID","CourtID","AccusedMasterID","IsAccused","IsComplainantAccused"
"1","2","1","2026-01-03","29","7","701","1002","507","1","1","0"
"2","3","1","2025-12-04","29","28","2801","1003","528","2","1","0"
"3","3","1","2025-12-18","29","28","2801","1003","528","3","1","0"
"4","7","1","2025-02-16","29","20","2005","1007","520","9","1","0"
"5","11","1","2025-04-24","29","26","2605","1011","526","13","1","0"
"6","15","1","2026-09-21","29","5","501","1015","505","18","1","0"
"7","17","1","2024-04-04","29","24","2404","1017","524","20","1","0"
"8","19","1","2025-10-29","29","28","2803","1019","528","22","1","0"
"9","19","1","2025-10-21","29","28","2803","1019","528","23","1","0"
"10","22","1","2026-12-27","29","13","1303","1022","513","26","1","0"
"11","31","1","2024-02-06","29","30","3004","1031","530","37","1","0"
"12","32","1","2026-07-22","29","3","304","1032","503","38","1","0"
"13","33","1","2024-11-21","29","18","1808","1033","518","39","1","0"
"14","34","1","2024-03-31","29","7","705","1034","507","41","1","0"
"15","41","1","2025-08-04","29","6","608","1041","506","46","1","0"
"16","42","1","2025-06-24","29","28","2804","1042","528","47","1","0"
"17","43","1","2026-07-02","29","8","802","1043","508","48","1","0"
"18","43","1","2026-06-13","29","8","802","1043","508","50","1","0"
"19","45","1","2025-11-23","29","12","1204","1045","512","52","1","0"
"20","45","1","2025-11-21","29","12","1204","1045","512","54","1","0"
"21","48","1","2026-11-25","29","8","802","1048","508","56","1","0"
"22","54","1","2025-07-22","29","8","806","1054","508","63","1","0"
"23","54","1","2025-07-23","29","8","806","1054","508","64","1","0"
"24","55","1","2025-07-21","29","19","1903","1055","519","65","1","0"
"25","57","1","2025-08-23","29","4","402","1057","504","70","1","0"
"26","58","1","2026-05-10","29","14","1406","1058","514","71","1","0"
"27","64","1","2025-10-01","29","13","1308","1064","513","77","1","0"
"28","65","1","2024-02-26","29","11","1105","1065","511","78","1","0"
"29","67","1","2026-10-17","29","3","303","1067","503","81","1","0"
"30","69","1","2024-11-05","29","30","3005","1069","530","82","1","0"
"31","69","1","2024-11-12","29","30","3005","1069","530","84","1","0"
"32","73","1","2024-09-10","29","20","2003","1073","520","86","1","0"
"33","74","1","2026-01-11","29","29","2905","1074","529","87","1","0"
"34","77","1","2025-10-19","29","28","2807","1077","528","90","1","0"
"35","83","1","2024-06-07","29","12","1201","1083","512","92","1","0"
"36","90","1","2026-07-16","29","20","2005","1090","520","94","1","0"
"37","101","1","2024-08-22","29","10","1007","1101","510","102","1","0"
"38","101","1","2024-08-13","29","10","1007","1101","510","103","1","0"
"39","102","1","2025-03-17","29","9","905","1102","509","105","1","0"
"40","106","1","2025-12-12","29","8","801","1106","508","109","1","0"
"41","107","1","2026-07-25","29","31","3101","1107","531","110","1","0"
"42","111","1","2025-11-04","29","14","1402","1111","514","115","1","0"
"43","111","1","2025-11-04","29","14","1402","1111","514","116","1","0"
"44","112","1","2025-03-30","29","28","2808","1112","528","117","1","0"
"45","112","1","2025-04-12","29","28","2808","1112","528","118","1","0"
"46","115","1","2025-03-11","29","25","2504","1115","525","121","1","0"
"47","118","1","2024-11-17","29","27","2708","1118","527","125","1","0"
"48","121","1","2024-10-05","29","1","105","1121","501","128","1","0"
"49","122","1","2025-08-18","29","16","1604","1122","516","131","1","0"
"50","124","1","2024-11-10","29","22","2207","1124","522","132","1","0"
"51","125","1","2026-03-04","29","8","802","1125","508","133","1","0"
"52","129","1","2024-02-25","29","15","1507","1129","515","137","1","0"
"53","131","1","2025-07-09","29","17","1702","1131","517","138","1","0"
"54","133","1","2025-06-02","29","10","1005","1133","510","140","1","0"
"55","135","1","2024-12-07","29","26","2601","1135","526","141","1","0"
"56","141","1","2025-08-23","29","24","2406","1141","524","145","1","0"
