"CaseMasterID","CrimeNo","CaseNo","CrimeRegisteredDate","PolicePersonID","PoliceStationID","CaseCategoryID","GravityOffenceID","CrimeMajorHeadID","CrimeMinorHeadID","CaseStatusID","CourtID","IncidentFromDate","IncidentToDate","InfoReceivedPSDate","latitude","longitude","BriefFacts"
"1","100060608202400001","202400001","2024-04-21","1001","608","1","1","4","7","2","506","2024-04-21T05:06:00.000Z","2024-04-21T09:06:00.000Z","2024-04-21T06:06:00.000Z","17.6850595","77.7163507","Drug Distribution reported near Bidar Women PS. Evidence and witness inputs available for AI review."
"2","100070701202600002","202600002","2026-01-02","1002","701","1","2","1","1","2","507","2026-01-02T17:06:00.000Z","2026-01-02T22:06:00.000Z","2026-01-02T18:06:00.000Z","11.7010523","77.0822539","Burglary reported near Chamarajanagar Central PS. Possible Coastal Fraud Cell pattern. Night-time MO. Evidence and witness inputs available for AI review."
"3","100282801202500003","202500003","2025-12-01","1003","2801","1","2","2","5","2","528","2025-12-01T00:28:00.000Z","2025-12-01T04:28:00.000Z","2025-12-01T01:28:00.000Z","14.6590020","73.9352842","Investment Scam reported near Uttara Kannada Central PS. Possible North Belt Narcotics Line pattern. Vehicle KA-01-PG-1046 seen. Evidence and witness inputs available for AI review."
"4","100080804202500004","202500004","2025-07-26","1004","804","1","2","1","2","1","508","2025-07-26T23:44:00.000Z","2025-07-27T01:44:00.000Z","2025-07-27T00:44:00.000Z","13.3592368","77.7825643","Vehicle Theft reported near Chikkaballapura Rural PS. Evidence and witness inputs available for AI review."
"5","100141403202400005","202400005","2024-01-18","1005","1403","1","2","2","4","1","514","2024-01-18T16:29:00.000Z","2024-01-18T20:29:00.000Z","2024-01-18T17:29:00.000Z","15.3675145","75.8496801","UPI Fraud reported near Gadag North PS. Night-time MO. Evidence and witness inputs available for AI review."
"6","100080802202400006","202400006","2024-02-19","1006","802","1","1","6","10","2","508","2024-02-19T08:14:00.000Z","2024-02-19T14:14:00.000Z","2024-02-19T09:14:00.000Z","13.4295634","77.9654715","Robbery reported near Chikkaballapura South PS. Vehicle KA-11-KH-1003 seen. Evidence and witness inputs available for AI review."
"7","100202005202500007","202500007","2025-01-31","1007","2005","1","2","2","5","2","520","2025-01-31T19:57:00.000Z","2025-02-01T01:57:00.000Z","2025-01-31T20:57:00.000Z","15.0888398","76.3277963","Investment Scam reported near Koppal Market PS. Possible Ring Road Burglary Crew pattern. Night-time MO. Evidence and witness inputs available for AI review."
"8","100070708202600008","202600008","2026-01-03","1008","708","1","2","2","4","1","507","2026-01-03T09:20:00.000Z","2026-01-03T15:20:00.000Z","2026-01-03T10:20:00.000Z","11.6774877","77.1909081","UPI Fraud reported near Chamarajanagar Women PS. Evidence and witness inputs available for AI review."
"9","100242402202400009","202400009","2024-02-22","1009","2402","1","1","6","10","1","524","2024-02-22T13:39:00.000Z","2024-02-22T17:39:00.000Z","2024-02-22T14:39:00.000Z","12.8516712","77.4297117","Robbery reported near Ramanagara South PS. Evidence and witness inputs available for AI review."
"10","100212102202500010","202500010","2025-03-20","1010","2102","1","1","5","8","1","521","2025-03-20T09:49:00.000Z","2025-03-20T11:49:00.000Z","2025-03-20T10:49:00.000Z","12.4377235","76.6634251","Harassment reported near Mandya South PS. Evidence and witness inputs available for AI review."
"11","100262605202500011","202500011","2025-04-16","1011","2605","1","2","1","1","1","526","2025-04-16T05:22:00.000Z","2025-04-16T07:22:00.000Z","2025-04-16T06:22:00.000Z","13.1782958","76.9852168","Burglary reported near Tumakuru Market PS. Evidence and witness inputs available for AI review."
"12","100292903202400012","202400012","2024-04-07","1012","2903","1","1","6","10","2","529","2024-04-07T20:43:00.000Z","2024-04-07T22:43:00.000Z","2024-04-07T21:43:00.000Z","16.8510105","75.9829750","Robbery reported near Vijayapura North PS. Night-time MO. Evidence and witness inputs available for AI review."
"13","100272707202500013","202500013","2025-11-26","1013","2707","1","2","1","2","1","527","2025-11-26T16:19:00.000Z","2025-11-26T20:19:00.000Z","2025-11-26T17:19:00.000Z","13.5530555","74.4989519","Vehicle Theft reported near Udupi Cyber PS. Vehicle KA-28-HE-1151 seen. Night-time MO. Evidence and witness inputs available for AI review."
"14","100070702202500014","202500014","2025-05-04","1014","702","1","2","1","3","1","507","2025-05-04T16:28:00.000Z","2025-05-04T19:28:00.000Z","2025-05-04T17:28:00.000Z","11.6434516","76.7809192","Chain Snatching reported near Chamarajanagar South PS. Possible NH-167 Network pattern. Night-time MO. Evidence and witness inputs available for AI review."
"15","100050501202600015","202600015","2026-09-11","1015","501","1","2","3","6","1","505","2026-09-11T11:47:00.000Z","2026-09-11T17:47:00.000Z","2026-09-11T12:47:00.000Z","12.8204602","77.4117379","Loan App Fraud reported near Bengaluru Urban Central PS. Evidence and witness inputs available for AI review."
"16","100161602202500016","202500016","2025-09-10","1016","1602","1","2","1","1","2","516","2025-09-10T14:31:00.000Z","2025-09-10T15:31:00.000Z","2025-09-10T15:31:00.000Z","14.5954597","75.5581500","Burglary reported near Haveri South PS. Night-time MO. Evidence and witness inputs available for AI review."
"17","100242404202400017","202400017","2024-03-27","1017","2404","1","2","1","2","1","524","2024-03-27T11:07:00.000Z","2024-03-27T17:07:00.000Z","2024-03-27T12:07:00.000Z","12.6580459","77.1758662","Vehicle Theft reported near Ramanagara Rural PS. Evidence and witness inputs available for AI review."
"18","100202005202600018","202600018","2026-03-13","1018","2005","1","2","3","6","1","520","2026-03-13T23:33:00.000Z","2026-03-14T02:33:00.000Z","2026-03-14T00:33:00.000Z","15.1177078","76.3378361","Loan App Fraud reported near Koppal Market PS. Vehicle KA-09-PY-1051 seen. Evidence and witness inputs available for AI review."
"19","100282803202500019","202500019","2025-10-13","1019","2803","1","2","1","1","1","528","2025-10-13T01:29:00.000Z","2025-10-13T02:29:00.000Z","2025-10-13T02:29:00.000Z","14.7509624","74.3291905","Burglary reported near Uttara Kannada North PS. Vehicle KA-11-MH-1001 seen. Evidence and witness inputs available for AI review."
"20","100020208202500020","202500020","2025-02-03","1020","208","1","2","1","1","2","502","2025-02-03T22:35:00.000Z","2025-02-04T02:35:00.000Z","2025-02-03T23:35:00.000Z","15.0007965","77.0715375","Burglary reported near Ballari Women PS. Vehicle KA-28-OJ-1208 seen. Night-time MO. Evidence and witness inputs available for AI review."
"21","100131303202400021","202400021","2024-06-08","1021","1303","1","2","1","2","2","513","2024-06-08T06:54:00.000Z","2024-06-08T10:54:00.000Z","2024-06-08T07:54:00.000Z","15.4158372","75.1705330","Vehicle Theft reported near Dharwad North PS. Evidence and witness inputs available for AI review."
"22","100131303202600022","202600022","2026-12-24","1022","1303","1","2","1","3","2","513","2026-12-24T04:54:00.000Z","2026-12-24T05:54:00.000Z","2026-12-24T05:54:00.000Z","15.4222661","75.1285867","Chain Snatching reported near Dharwad North PS. Evidence and witness inputs available for AI review."
