"CSID","CaseMasterID","csdate","cstype","PolicePersonID"
"1","1","2024-06-29T05:06:00.000Z","A","1001"
"2","2","2026-03-21T17:06:00.000Z","A","1002"
"3","4","2025-08-17T23:44:00.000Z","C","1004"
"4","5","2024-02-10T16:29:00.000Z","C","1005"
"5","6","2024-03-12T08:14:00.000Z","A","1006"
"6","7","2025-04-02T19:57:00.000Z","C","1007"
"7","8","2026-01-21T09:20:00.000Z","A","1008"
"8","9","2024-04-14T13:39:00.000Z","C","1009"
"9","10","2025-05-08T09:49:00.000Z","A","1010"
"10","11","2025-05-20T05:22:00.000Z","A","1011"
"11","12","2024-05-06T20:43:00.000Z","C","1012"
"12","17","2024-06-01T11:07:00.000Z","C","1017"
"13","18","2026-04-27T23:33:00.000Z","C","1018"
"14","19","2025-11-29T01:29:00.000Z","A","1019"
"15","20","2025-03-23T22:35:00.000Z","A","1020"
"16","22","2027-03-13T04:54:00.000Z","A","1022"
"17","23","2026-06-02T02:30:00.000Z","A","1023"
"18","27","2026-07-26T19:30:00.000Z","A","1027"
"19","28","2025-09-16T07:12:00.000Z","C","1028"
"20","29","2025-05-20T00:57:00.000Z","A","1029"
"21","30","2027-01-29T07:01:00.000Z","C","1030"
"22","33","2024-11-22T17:48:00.000Z","A","1033"
"23","34","2024-06-04T11:47:00.000Z","A","1034"
"24","35","2024-05-05T21:28:00.000Z","A","1035"
"25","37","2024-02-28T06:55:00.000Z","C","1037"
"26","38","2024-11-28T09:59:00.000Z","C","1038"
"27","42","2025-07-07T20:40:00.000Z","C","1042"
"28","44","2026-05-10T00:31:00.000Z","C","1044"
"29","45","2025-12-26T02:55:00.000Z","A","1045"
"30","46","2025-03-05T01:21:00.000Z","A","1046"
"31","47","2026-10-08T14:18:00.000Z","A","1047"
"32","48","2027-01-13T22:43:00.000Z","A","1048"
"33","49","2024-07-15T07:06:00.000Z","C","1049"
"34","51","2026-01-22T20:35:00.000Z","A","1051"
"35","52","2024-07-11T04:38:00.000Z","C","1052"
"36","53","2027-02-16T01:27:00.000Z","C","1053"
"37","54","2025-08-19T05:56:00.000Z","A","1054"
"38","55","2025-10-10T13:42:00.000Z","A","1055"
"39","56","2025-11-03T07:08:00.000Z","A","1056"
"40","57","2025-10-12T10:26:00.000Z","A","1057"
"41","59","2025-05-08T05:00:00.000Z","A","1059"
"42","61","2025-05-25T03:26:00.000Z","C","1061"
"43","65","2024-03-25T00:37:00.000Z","A","1065"
"44","66","2026-12-04T18:03:00.000Z","C","1066"
"45","67","2026-12-11T14:26:00.000Z","C","1067"
"46","69","2024-12-30T04:40:00.000Z","A","1069"
"47","70","2026-02-01T14:45:00.000Z","A","1070"
"48","71","2024-04-13T06:13:00.000Z","A","1071"
"49","73","2024-11-09T14:26:00.000Z","A","1073"
"50","74","2026-02-03T12:02:00.000Z","A","1074"
"51","75","2027-01-12T01:15:00.000Z","C","1075"
"52","76","2025-10-02T10:30:00.000Z","C","1076"
"53","77","2025-12-20T11:30:00.000Z","A","1077"
"54","79","2025-07-06T04:14:00.000Z","C","1079"
"55","81","2025-05-27T18:17:00.000Z","A","1081"
"56","82","2024-07-16T10:19:00.000Z","A","1082"
"57","84","2026-03-13T23:36:00.000Z","A","1084"
"58","86","2026-12-15T21:43:00.000Z","A","1086"
"59","88","2025-06-21T12:40:00.000Z","A","1088"
"60","92","2026-09-19T05:02:00.000Z","A","1092"
"61","93","2025-03-30T05:14:00.000Z","C","1093"
"62","95","2024-05-16T23:50:00.000Z","A","1095"
"63","97","2026-08-17T12:18:00.000Z","A","1097"
"64","99","2025-07-29T12:49:00.000Z","C","1099"
"65","100","2026-04-20T01:28:00.000Z","A","1100"
"66","101","2024-10-24T17:21:00.000Z","A","1101"
"67","104","2025-07-24T20:54:00.000Z","A","1104"
"68","107","2026-10-07T05:20:00.000Z","A","1107"
"69","111","2025-12-23T01:59:00.000Z","A","1111"
"70","114","2026-10-13T12:59:00.000Z","C","1114"
"71","115","2025-04-24T21:11:00.000Z","A","1115"
"72","117","2027-01-11T11:19:00.000Z","C","1117"
"73","120","2025-07-08T07:28:00.000Z","A","1120"
"74","124","2024-11-29T21:42:00.000Z","C","1124"
"75","125","2026-04-12T09:15:00.000Z","A","1125"
"76","126","2025-10-19T09:11:00.000Z","C","1126"
"77","132","2026-01-17T00:56:00.000Z","A","1132"
"78","134","2024-04-30T17:30:00.000Z","C","1134"
"79","136","2026-10-09T06:24:00.000Z","A","1136"
"80","137","2025-01-13T03:35:00.000Z","A","1137"
"81","139","2026-07-22T09:41:00.000Z","A","1139"
"82","143","2026-11-11T04:35:00.000Z","A","1143"
"83","144","2024-06-09T13:14:00.000Z","A","1144"
"84","145","2026-04-29T22:08:00.000Z","A","1145"
"85","148","2026-03-18T23:12:00.000Z","C","1148"
"86","149","2024-04-18T05:38:00.000Z","A","1149"
"87","152","2025-03-31T08:23:00.000Z","A","1152"
"88","154","2025-12-18T03:06:00.000Z","A","1154"
"89","157","2025-02-05T19:08:00.000Z","C","1157"
"90","158","2026-01-03T00:32:00.000Z","A","1158"
"91","159","2025-11-11T13:33:00.000Z","A","1159"
"92","161","2025-11-23T15:34:00.000Z","C","1161"
"93","164","2024-11-13T04:05:00.000Z","A","1164"
"94","168","2024-02-13T10:07:00.000Z","A","1168"
"95","170","2025-09-29T12:17:00.000Z","A","1170"
"96","171","2025-12-09T12:07:00.000Z","A","1171"
"97","172","2025-05-14T06:23:00.000Z","A","1172"
"98","177","2024-09-28T22:51:00.000Z","A","1177"
"99","178","2026-05-31T14:46:00.000Z","A","1178"
"100","180","2025-07-07T12:39:00.000Z","A","1180"
"101","181","2024-09-01T07:47:00.000Z","A","1181"
"102","182","2024-06-08T21:44:00.000Z","A","1182"
"103","184","2026-10-26T14:59:00.000Z","C","1184"
"104","186","2026-01-30T01:13:00.000Z","C","1186"
"105","187","2025-08-05T02:56:00.000Z","A","1187"
"106","188","2025-10-17T15:39:00.000Z","A","1188"
"107","193","2026-10-17T14:03:00.000Z","A","1193"
"108","194","2027-02-23T20:52:00.000Z","A","1194"
"109","200","2026-05-12T19:59:00.000Z","A","1200"
"110","201","2025-04-14T01:56:00.000Z","C","1201"
"111","203","2027-02-10T19:13:00.000Z","A","1203"
"112","206","2026-06-04T13:46:00.000Z","A","1206"
"113","207","2026-03-05T08:02:00.000Z","A","1207"
"114","208","2025-03-15T21:31:00.000Z","A","1208"
"115","209","2025-11-14T07:28:00.000Z","A","1209"
"116","210","2026-02-23T23:46:00.000Z","A","1210"
"117","213","2025-03-27T10:32:00.000Z","A","1213"
"118","217","2025-09-27T17:46:00.000Z","A","1217"
"119","218","2025-04-15T12:04:00.000Z","C","1218"
"120","220","2026-03-07T14:24:00.000Z","A","1220"
"121","222","2026-03-30T08:24:00.000Z","A","1222"
"122","224","2024-07-30T07:16:00.000Z","C","1224"
"123","226","2026-02-14T12:11:00.000Z","A","1226"
"124","227","2026-08-13T00:21:00.000Z","A","1227"
"125","228","2026-03-31T03:24:00.000Z","A","1228"
"126","229","2025-08-21T15:01:00.000Z","A","1229"
"127","230","2026-05-26T07:23:00.000Z","A","1230"
"128","232","2026-07-09T00:31:00.000Z","A","1232"
"129","233","2026-02-24T05:13:00.000Z","A","1233"
"130","234","2024-03-08T14:56:00.000Z","C","1234"
"131","235","2026-08-25T22:31:00.000Z","A","1235"
"132","236","2026-02-12T22:14:00.000Z","A","1236"
"133","237","2026-11-11T06:30:00.000Z","A","1237"
"134","240","2024-09-05T01:25:00.000Z","A","1240"
"135","242","2024-10-13T13:49:00.000Z","A","1242"
"136","244","2024-02-10T07:40:00.000Z","A","1244"
"137","245","2024-06-02T02:47:00.000Z","A","1245"
"138","246","2026-07-31T09:26:00.000Z","A","1246"
"139","248","2026-08-07T20:48:00.000Z","C","1248"
"140","252","2025-02-16T19:44:00.000Z","A","1252"
"141","253","2026-01-24T23:23:00.000Z","A","1253"
"142","254","2025-02-02T04:44:00.000Z","A","1254"
"143","256","2027-01-23T00:38:00.000Z","C","1256"
"144","258","2025-09-27T08:19:00.000Z","A","1258"
"145","259","2026-06-04T19:05:00.000Z","A","1259"
"146","260","2026-04-27T00:57:00.000Z","A","1260"
"147","262","2025-02-10T04:14:00.000Z","A","1262"
"148","263","2024-10-11T18:26:00.000Z","A","1263"
"149","264","2024-08-26T22:51:00.000Z","A","1264"
"150","269","2025-11-25T01:35:00.000Z","A","1269"
"151","273","2026-05-12T22:59:00.000Z","A","1273"
"152","274","2026-04-06T09:40:00.000Z","A","1274"
"153","277","2026-05-22T18:41:00.000Z","A","1277"
"154","282","2025-06-22T17:33:00.000Z","A","1282"
"155","283","2025-03-27T07:58:00.000Z","A","1283"
"156","285","2024-03-01T21:40:00.000Z","C","1285"
"157","287","2024-05-15T14:11:00.000Z","A","1287"
"158","289","2026-05-23T22:13:00.000Z","A","1289"
"159","293","2025-03-22T10:13:00.000Z","A","1293"
"160","295","2024-09-23T11:18:00.000Z","A","1295"
"161","299","2024-09-15T03:40:00.000Z","A","1299"
"162","301","2025-03-12T12:21:00.000Z","A","1301"
"163","302","2024-01-22T14:39:00.000Z","A","1302"
"164","303","2027-02-18T22:57:00.000Z","A","1303"
"165","305","2026-05-07T22:25:00.000Z","A","1305"
"166","306","2026-05-07T00:40:00.000Z","A","1306"
"167","309","2025-10-27T04:20:00.000Z","A","1309"
"168","311","2024-05-20T18:38:00.000Z","A","1311"
"169","312","2026-07-18T11:30:00.000Z","A","1312"
"170","314","2025-08-29T13:50:00.000Z","C","1314"
"171","315","2025-11-19T00:23:00.000Z","A","1315"
"172","316","2025-01-18T16:45:00.000Z","A","1316"
