"VictimMasterID","CaseMasterID","VictimName","AgeYear","GenderID","VictimPolice"
"1","1","Victim 00001-1","42","1","0"
"2","1","Victim 00001-2","67","2","0"
"3","1","Victim 00001-3","30","1","0"
"4","2","Victim 00002-1","22","2","0"
"5","2","Victim 00002-2","65","2","0"
"6","3","Victim 00003-1","58","2","0"
"7","4","Victim 00004-1","61","1","0"
"8","5","Victim 00005-1","45","1","0"
"9","6","Victim 00006-1","45","1","0"
"10","6","Victim 00006-2","63","2","0"
"11","6","Victim 00006-3","65","1","0"
"12","7","Victim 00007-1","33","2","0"
"13","7","Victim 00007-2","48","2","0"
"14","7","Victim 00007-3","54","2","0"
"15","8","Victim 00008-1","25","1","0"
"16","8","Victim 00008-2","45","1","0"
"17","8","Victim 00008-3","46","1","0"
"18","9","Victim 00009-1","24","2","0"
"19","9","Victim 00009-2","71","2","0"
"20","10","Victim 00010-1","63","2","0"
"21","11","Victim 00011-1","37","2","0"
"22","12","Victim 00012-1","39","1","0"
"23","13","Victim 00013-1","67","2","0"
"24","14","Victim 00014-1","58","2","0"
"25","15","Victim 00015-1","15","2","0"
"26","15","Victim 00015-2","61","1","0"
"27","16","Victim 00016-1","27","2","0"
"28","17","Victim 00017-1","18","2","0"
"29","17","Victim 00017-2","33","2","0"
"30","17","Victim 00017-3","47","2","0"
"31","18","Victim 00018-1","32","1","0"
"32","18","Victim 00018-2","19","2","0"
"33","18","Victim 00018-3","65","2","0"
"34","19","Victim 00019-1","60","2","0"
"35","19","Victim 00019-2","23","2","0"
"36","19","Victim 00019-3","57","2","0"
"37","20","Victim 00020-1","43","2","0"
"38","21","Victim 00021-1","23","1","0"
"39","21","Victim 00021-2","45","1","0"
"40","22","Victim 00022-1","53","1","0"
"41","22","Victim 00022-2","73","1","0"
"42","22","Victim 00022-3","25","2","0"
"43","23","Victim 00023-1","32","1","0"
"44","24","Victim 00024-1","55","1","0"
"45","24","Victim 00024-2","18","1","0"
"46","24","Victim 00024-3","35","2","0"
"47","25","Victim 00025-1","72","2","0"
"48","25","Victim 00025-2","51","2","0"
"49","26","Victim 00026-1","25","1","0"
"50","26","Victim 00026-2","64","1","0"
"51","26","Victim 00026-3","35","1","0"
"52","27","Victim 00027-1","26","1","0"
"53","28","Victim 00028-1","49","1","0"
"54","28","Victim 00028-2","45","2","0"
"55","28","Victim 00028-3","70","1","0"
"56","29","Victim 00029-1","30","2","0"
"57","29","Victim 00029-2","44","2","0"
"58","29","Victim 00029-3","71","2","0"
"59","30","Victim 00030-1","33","1","0"
"60","31","Victim 00031-1","32","1","0"
"61","31","Victim 00031-2","16","2","0"
"62","31","Victim 00031-3","31","1","0"
"63","32","Victim 00032-1","17","2","0"
"64","32","Victim 00032-2","62","2","0"
"65","33","Victim 00033-1","14","2","0"
